Ensembl_ID,Gene_Symbol,Gene_Description,Tumor_Mean,Normal_Mean,LogFC
ENSG00000118785.14,SPP1,secreted phosphoprotein 1,6.835150715126225,2.5224757983669557,4.31267491675927
ENSG00000143320.9,CRABP2,cellular retinoic acid binding protein 2,6.164493215758952,1.9810815688816392,4.183411646877313
ENSG00000147689.16,SACK1A,scaffolding CK1 anchoring protein A,3.752872897544845,0.2648304060925692,3.488042491452276
ENSG00000164266.11,SPINK1,serine peptidase inhibitor Kazal type 1,4.377413166201908,0.9255837795807318,3.451829386621176
ENSG00000105388.16,CEACAM5,CEA cell adhesion molecule 5,5.654209202871847,2.3517580591891956,3.3024511436826516
ENSG00000164932.13,CTHRC1,collagen triple helix repeat containing 1,4.9996873880196935,1.715546851629468,3.2841405363902254
ENSG00000099953.10,MMP11,matrix metallopeptidase 11,3.727713979165141,0.5551989635667908,3.1725150155983504
ENSG00000211892.4,IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker),5.9789054123867045,2.840091881509415,3.1388135308772895
ENSG00000183010.17,PYCR1,pyrroline-5-carboxylate reductase 1,4.762264391444282,1.6481837562690014,3.1140806351752808
ENSG00000175063.17,UBE2C,ubiquitin conjugating enzyme E2 C,4.412801901380547,1.317160933244384,3.095640968136163
ENSG00000163993.7,S100P,S100 calcium binding protein P,6.629271739974224,3.618190991331694,3.0110807486425304
ENSG00000179913.11,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",3.824155670474472,0.8264516996601879,2.9977039708142836
ENSG00000196611.5,MMP1,matrix metallopeptidase 1,3.84906757951006,0.8670059198303619,2.9820616596796983
ENSG00000123500.10,COL10A1,collagen type X alpha 1 chain,3.5438802192779963,0.571274150937698,2.9726060683402986
ENSG00000029993.15,HMGB3,high mobility group box 3,5.770111717601586,2.8704751540943945,2.8996365635071917
ENSG00000131747.15,TOP2A,DNA topoisomerase II alpha,4.038562855029737,1.1696027646688367,2.8689600903609005
ENSG00000211896.7,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),9.996637258296683,7.167876392196709,2.828760866099977
ENSG00000108821.14,COL1A1,collagen type I alpha 1 chain,7.786580630646201,4.9629932932133904,2.8235873374328104
ENSG00000101057.16,MYBL2,MYB proto-oncogene like 2,3.797489597383992,0.9838786060723675,2.8136109913116245
ENSG00000117399.14,CDC20,cell division cycle 20,3.845904748235072,1.090176283623134,2.7557284646119378
